product_id,product_name,category,brand
09453a2c-f5de-4e81-aed7-bac9927fe796,Implemented zero administration project 1,Food,BrandC
7896152c-eee8-45a5-ab17-98ee37b4fe5c,Function-based static project 2,Sports,Generic
7655cf42-d956-48e2-b38f-6c070be8626e,Object-based background Graphic Interface 3,Home Goods,BrandA
bf523331-ff09-4a2f-b6c2-b31adda6a3c8,Assimilated reciprocal flexibility 4,Electronics,BrandC
48fd2e16-bd23-47e3-b8b3-155b7fa0953f,Enterprise-wide tangible definition 5,Sports,Generic
2dc2e73b-67ad-477d-9e8a-04335c336100,Realigned object-oriented throughput 6,Books,BrandA
bff27b2a-724e-4e76-928e-80dacdcc52e2,Synergistic upward-trending project 7,Clothing,BrandC
a0432152-70c6-469f-b5e5-6a326529ebc9,Networked impactful access 8,Electronics,BrandD
2dc8060b-8085-47de-b6c8-18ef06ed5d6f,Cross-group tangible system engine 9,Toys,BrandC
8662778e-8d19-4bd0-b9bd-21c984f5d6b0,Business-focused discrete strategy 10,Food,BrandB
0bf74392-6ac4-4840-bc91-a693fbee91d0,Business-focused 4thgeneration forecast 11,Electronics,Generic
012ab050-972e-4e75-86e2-7696a3571705,Operative analyzing middleware 12,Electronics,BrandD
e527ff07-b09e-4e2f-98da-4f94816410b6,Fully-configurable non-volatile data-warehouse 13,Toys,BrandD
01b72f13-4d27-4afc-92c9-45488d72bf39,Decentralized mission-critical data-warehouse 14,Toys,Generic
bfbb5742-9fd0-48a5-bdaa-3aa6561b7a26,User-friendly discrete contingency 15,Electronics,BrandB
a2dff227-a263-49e7-83cb-2bc2b934c8cb,Progressive stable instruction set 16,Beauty,BrandC
22af51e7-273b-4353-a951-883b04d17106,Persevering object-oriented hardware 17,Electronics,Generic
d89ab4b7-ad0c-4898-8ea7-7b1d06864c5e,Reduced motivating process improvement 18,Toys,Generic
a4d51cf4-4967-4752-95dc-2d1ff99774e0,Customer-focused asymmetric functionalities 19,Electronics,BrandB
ea808d79-c435-4ad9-af2f-b646edde89e8,User-centric methodical function 20,Clothing,BrandC
c2300a11-c689-4bc3-873c-2834fc65a715,Ergonomic intermediate structure 21,Beauty,BrandA
