order_id,customer_id,order_date,total_amount,status
4d42e9a0-ae8c-4b88-9c3f-ec9ef100d791,fd7dd2ae-597b-4504-954d-ab17c3b36024,2023-04-07 21:54:08,2525.6,completed
ad860bcb-dc49-4ff7-858b-949123427a6c,f0745f2f-6151-4632-9f6c-eaaa4962231e,2024-01-08 03:04:19,655.34,cancelled
6f63225e-8771-4454-a829-7a2f7bffe4c0,150e96fc-05cd-4d16-954b-f8df7bfe3bff,2023-01-29 13:44:27,1352.29,cancelled
443ba0ff-6d44-4653-a727-14d903b882f5,94396907-7b0d-4ce0-882a-f19bbf45dfb0,2023-03-29 20:25:02,921.03,completed
123b4587-d662-472c-83be-483dc23c8c0e,a42af2e2-1080-4a4d-a02e-ce6cef71a442,2023-04-25 10:07:39,462.79,cancelled
2385c976-7a5b-4273-9f7d-fd6ccbcd183d,5f0503ed-32e3-45cb-a2b9-c5d8f7b0b28d,2023-06-19 01:10:03,2033.98,pending
315f9a0f-4a09-4633-bc1d-b8e37a7bf3d8,4a46452a-2ee6-46c2-a5bd-17225f1f54dc,2023-10-12 12:26:32,1999.63,completed
6cd035e5-6088-49c9-aea7-95f9d04fefad,8f795f85-70ba-45a9-add0-7c54dcf91d1c,2023-03-21 06:39:39,1767.16,cancelled
47a16a52-fe14-43c1-93d3-353a68c3eb3c,7e552fd1-6faf-43da-a8bf-4bdbf2138e6a,2023-06-19 18:22:42,727.39,cancelled
2421ff65-b10f-451c-b7b7-5df79c40e925,beb77219-3046-421b-90d9-f29cc15bd5b6,2023-10-25 01:11:32,1605.24,completed
6d84ec8b-77bf-4ff6-8fcf-039b2fc93c16,5f42d364-6903-43fc-8bba-11ec1b9207ea,2023-10-12 19:47:50,1476.59,completed
33139078-ed69-4e79-b0c6-e418d50cfa83,5914033f-133a-4ca5-ad09-7007460a6ef5,2023-09-17 04:38:20,2791.91,cancelled
ffb4e900-6090-4ad8-b6a3-dda0c07017cf,d82116f9-db70-4235-83cb-750024b92e0a,2024-03-04 12:19:25,4212.59,completed
1f053e64-afe2-4657-86ab-b7c2a418bd49,cc7d88e4-a0fe-4dbb-8d03-8b0ab24884c4,2023-01-03 22:31:54,567.92,completed
7f4ac79b-a31d-4f7d-8400-8b2a1cecde9f,5523d209-665a-49cf-8ee9-49992f3ca642,2023-06-06 01:58:01,761.8,cancelled
b6c073da-0192-45c8-beea-84bef030f114,be91b4dd-29b1-4709-8c07-d34986565a4f,2023-08-12 09:57:43,1194.88,cancelled
61848d5a-b2a6-449c-bb4b-896cf90f1ea9,b856c2c9-3743-414f-a5b5-8d054aec38ca,2023-04-01 08:34:29,3190.34,completed
f0d2d664-7a23-4d73-afa3-f3282c7ed57e,745480cc-d1c9-4cd0-874d-54a7ef15e548,2023-01-19 20:54:00,808.86,pending
86381594-4fb7-4452-a354-d9ddad50b403,0ea976a8-b40c-4e28-b48a-244e6374380f,2023-12-28 04:32:39,889.08,pending
68142866-988a-47fd-835a-24244e1163b6,1dc614cb-dc43-4b77-8ddf-f707a20137f7,2023-02-03 16:45:44,1543.41,cancelled
873cc8d1-e6d8-4ef0-b611-ced071e425e7,982c7a81-4204-47f5-9cf8-46f87317fcbd,2023-11-08 08:02:56,1179.92,cancelled
98baecd1-c364-4439-9bdd-553568990023,ae4c5b62-c31f-4df2-ae2b-e669fdd10a5d,2023-03-16 11:31:47,2497.15,pending
37577382-194f-49d1-8033-ca45c27945c7,54223565-c50f-4ed7-bb9f-0bab15c599df,2023-01-27 16:59:54,1099.21,cancelled
